demo	sceneChanged	total	animated
dark-basic	CRASHED	0	0
dark-basic	false	31	0
bar-basic	CRASHED	0	0
bar-basic	false	30	0
bar-seven	CRASHED	0	0
bar-seven	false	36	0
line-basic	CRASHED	0	0
line-basic	false	44	6
line-stacked-area	CRASHED	0	0
line-stacked-area	true	152	46
line-lttb	CRASHED	0	0
line-lttb	false	60	0
scatter-basic	CRASHED	0	0
scatter-basic	false	65	0
large-scatter	CRASHED	0	0
large-scatter	false	50	0
effectscatter-basic	CRASHED	0	0
effectscatter-basic	false	85	18
lines-basic	CRASHED	0	0
lines-basic	false	51	0
lines-effect	CRASHED	0	0
lines-effect	false	55	4
pie-basic	CRASHED	0	0
pie-basic	false	6	0
bar-title-legend	CRASHED	0	0
bar-title-legend	true	27	0
legend-selector	CRASHED	0	0
legend-selector	true	59	5
timeline-basic	CRASHED	0	0
timeline-basic	false	48	4
funnel-basic	CRASHED	0	0
funnel-basic	false	6	0
candlestick-basic	CRASHED	0	0
candlestick-basic	false	35	0
boxplot-basic	CRASHED	0	0
boxplot-basic	false	35	0
sunburst-basic	CRASHED	0	0
sunburst-basic	false	13	0
treemap-basic	CRASHED	0	0
treemap-basic	false	30	16
tree-basic	CRASHED	0	0
tree-basic	true	26	0
graph-basic	CRASHED	0	0
graph-basic	false	19	0
graph-force	CRASHED	0	0
graph-force	true	29	0
radar-basic	CRASHED	0	0
radar-basic	false	43	0
polar-basic	CRASHED	0	0
polar-basic	false	56	0
gauge-basic	CRASHED	0	0
gauge-basic	false	90	0
sankey-basic	CRASHED	0	0
sankey-basic	false	10	0
chord-basic	CRASHED	0	0
chord-basic	false	10	1
themeriver-basic	CRASHED	0	0
themeriver-basic	false	23	0
themeriver-full	CRASHED	0	0
themeriver-full	true	69	5
parallel-basic	CRASHED	0	0
parallel-basic	false	82	0
calendar-basic	CRASHED	0	0
calendar-basic	false	42	0
matrix-basic	CRASHED	0	0
matrix-basic	false	28	0
geo-basic	CRASHED	0	0
geo-basic	false	11	0
map-svg-basic	CRASHED	0	0
map-svg-basic	false	10	0
map-svg-series	CRASHED	0	0
map-svg-series	false	22	0
map-basic	CRASHED	0	0
map-basic	false	23	0
map-bar-morph	CRASHED	0	0
map-bar-morph	false	123	0
visualmap-basic	CRASHED	0	0
visualmap-basic	false	74	0
heatmap-basic	CRASHED	0	0
heatmap-basic	false	47	0
custom-basic	CRASHED	0	0
custom-basic	false	50	0
bar-stack	CRASHED	0	0
bar-stack	true	46	9
bar-negative	CRASHED	0	0
bar-negative	false	38	0
bar-horizontal	CRASHED	0	0
bar-horizontal	false	36	0
line-area	CRASHED	0	0
line-area	false	55	7
line-smooth	CRASHED	0	0
line-smooth	true	62	9
line-stack	CRASHED	0	0
line-stack	true	84	16
pie-doughnut	CRASHED	0	0
pie-doughnut	true	24	3
pie-rose	CRASHED	0	0
pie-rose	false	6	0
scatter-multi	CRASHED	0	0
scatter-multi	true	73	5
bar-datazoom-slider	CRASHED	0	0
bar-datazoom-slider	false	62	0
bar-multi3	CRASHED	0	0
bar-multi3	true	52	16
line-dashed	CRASHED	0	0
line-dashed	true	60	17
scatter-large	CRASHED	0	0
scatter-large	false	212	0
pie-labeled	CRASHED	0	0
pie-labeled	false	6	0
radar-multi	CRASHED	0	0
radar-multi	true	65	16
line-multi5	CRASHED	0	0
line-multi5	true	135	28
mix-bar-line	CRASHED	0	0
mix-bar-line	true	56	15
area-two	CRASHED	0	0
area-two	true	73	14
bar-background	CRASHED	0	0
bar-background	false	44	0
bar-large	CRASHED	0	0
bar-large	true	87	0
bar-width	CRASHED	0	0
bar-width	false	36	0
bar-stack-reverse	CRASHED	0	0
bar-stack-reverse	true	46	7
boxplot-multi	CRASHED	0	0
boxplot-multi	false	31	0
candlestick-large	CRASHED	0	0
candlestick-large	false	58	0
funnel-sorted	CRASHED	0	0
funnel-sorted	false	6	0
gauge-simple	CRASHED	0	0
gauge-simple	false	90	0
graph-circular	CRASHED	0	0
graph-circular	false	28	0
heatmap-large	CRASHED	0	0
heatmap-large	false	127	0
parallel-multi	CRASHED	0	0
parallel-multi	false	84	0
pie-half	CRASHED	0	0
pie-half	false	5	0
radar-filled	CRASHED	0	0
