demo	total	animated	beforeAnimated
bar-title-legend	34	5	5
graph-force	39	0	0
official-area-time-axis	77	0	0
official-line-fisheye-lens	30	0	0
official-line-polar	228	202	101
official-line-polar2	26	0	0
official-bar-race	28	5	6
official-bar-race-country	58	25	25
official-mix-timeline-finance	189	0	0
official-scatter-punchCard	415	168	168
official-scatter-nebula	109	0	0
official-scatter-polar-punchCard	398	168	168
official-scatter-map	499	190	190
official-scatter-weibo	121	0	0
official-custom-ohlc	43	0	0
official-data-transform-aggregate	66	0	19
official-graph-force2	671	0	0
official-graph-webkit-dep	3262	0	0
official-pictorialBar-hill	81	38	39
official-custom-bar-trend	146	0	0
official-custom-error-bar	165	20	20
official-custom-polar-heatmap	62	0	0
official-area-simple	85	0	0
